id,question,expected_answer
19,what county is coatesville indiana located in,"Coatesville is a town in Clay Township , Hendricks County , Indiana , United States ."
20,where does angela davis currently work,"She is a retired professor with the History of Consciousness Department at the University of California, Santa Cruz , and is the former director of the university's Feminist Studies department."
21,how jameson irish whiskey is made,"Jameson is similar in its adherence to the single distillery principle to the single malt tradition, but Jameson blends column still spirit with Single pot still whiskey , a combination of malted barley with unmalted or ""green"" barley distilled in a pot still."
22,what did tycho brahe do,"Tycho Brahe (14 December 154624 October 1601), born Tyge Ottesen Brahe, was a Danish nobleman known for his accurate and comprehensive astronomical and planetary observations."
23,what are d.o. of medicine,Doctor of Osteopathic Medicine (D.O. or DO) is a professional doctoral degree for physicians offered by medical schools in the United States .
24,what does a liquid oxygen plant look like,The blue color of liquid oxygen in a dewar flask
25,where is the 2011 mlb all star game location,"The event was held on Tuesday, July 12, 2011 at Chase Field in Phoenix, Arizona , home of the National League Arizona Diamondbacks ."
26,Where Elephants Live,"Elephants are scattered throughout sub-Saharan Africa , and South and Southeast Asia ."
27,how is whooping cough distinguished from similar diseases,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing."
28,what is a CMM machine,A coordinate measuring machine is a device for measuring the physical geometrical characteristics of an object.
29,what is a popular people meter,A people meter is an audience measurement tool used to measure the viewing habits of TV and cable audiences.
30,what are circumpolar constellations,"In astronomy, the circumpolar constellations are constellations that never set from the viewer's perspective."
31,what type of business is walmart,"Wal-Mart Stores, Inc. (), branded as Walmart, is an American multinational retail corporation that runs chains of large discount department stores and warehouse stores."
32,what was the actress who played the pink power ranger,"She was played by actress Amy Jo Johnson during the first three seasons of the show, plus on the two feature films of the franchise."
33,how did women's role change during the war,"Whether it was on the home front or the front-lines, for civilian or enlisted women, the World Wars started a new era for women's opportunities to contribute in war and be recognized for efforts outside of the home."
34,how many asian indians live in usa,"Indian Americans are citizens of the United States of Indian ancestry and comprise about 3.18 million people, or ~1.0% of the U.S. population, the country's third largest self-reported Asian ancestral group after Chinese Americans and Filipino Americans according to American Community Survey of 2010 data."
35,how is jerky made,"Jerky is lean meat that has been trimmed of fat, cut into strips, and then dried to prevent spoilage."
36,who did mr bojangles,"""Mr. Bojangles"" is the title of a song originally written and recorded by American country music artist Jerry Jeff Walker for his 1968 album of the same title."
37,WHAT ARE HERITABLE TRAITS,heritability of a trait within a population is the proportion of observable differences in a trait between individuals within a population that is due to genetic differences.
38,what is nicki minaj real name,"Onika Tanya Maraj (born December 8, 1982), known by her stage name Nicki Minaj (), is a Trinidadian-born American rapper, singer, songwriter and television personality."
39,who set the world record for women for high jump,"Stefka Kostadinova ( Bulgaria ) has held the women's world record at since 1987, also the longest-held record in the event."
40,who are all of the jonas brothers,"Formed in 2005, they have gained popularity from the Disney Channel children's television network and consists of three brothers from Wyckoff, New Jersey ; Paul Kevin Jonas II , Joseph Adam Jonas and Nicholas Jerry Jonas ."
41,what is a day care for?,"Child care or day care is the care of a child during the day by a person other than the child's legal guardians , typically performed by someone outside the child's immediate family ."
42,who created massey ferguson,"The company was formed by a merger between Massey Harris and the Ferguson Company farm machinery manufacturer in 1953, creating the company Massey Harris Ferguson."
43,when did qing dynasty begin,"The Qing Dynasty, also Empire of the Great Qing or Great Qing, was the last imperial dynasty of China , ruling from 1644 to 1912 with a brief, abortive restoration in 1917."
44,how does a dim sum restaurant work,Dim sum () refers to a style of Cantonese food prepared as small bite-sized or individual portions of food traditionally served in small steamer baskets or on small plates.
45,what is the fundamental theorem of calculus used for,The fundamental theorem of calculus is a theorem that links the concept of the derivative of a function with the concept of the integral .
46,what does continuous improvement mean,"A continual improvement process, also often called a continuous improvement process (abbreviated as CIP or CI), is an ongoing effort to improve products, services, or processes."
47,where is humboldt ks,"Humboldt is a city situated along the Neosho River in the southwest part of Allen County , located in southeast Kansas , in the Central United States ."
48,how often does ham station need to ID?,"Station identification used to be done regularly by an announcer at the halfway point during the presentation of a television program, or in between programs."
49,what is the si unit of pressure,Everyday pressures are often stated in kilopascals (1 kPa = 1000 Pa).
50,who made the matrix,"The Matrix is a 1999 American–Australian science fiction action film written and directed by The Wachowski Brothers and starring Keanu Reeves , Laurence Fishburne , Carrie-Anne Moss , Joe Pantoliano , and Hugo Weaving ."
